Name = NACA 0012
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-142.0	-0.335	0.90523	-0.015	0.002	0.998	0.007	0.998	-0.370	0.256	0.206
-141.0	-0.315	0.94499	-0.015	0.002	0.998	0.007	0.998	-0.334	0.260	0.203
-140.0	-0.297	1.08168	-0.015	0.002	0.998	0.008	0.998	-0.275	0.265	0.199
-139.0	-0.281	1.14439	-0.015	0.002	0.998	0.008	0.998	-0.245	0.260	0.196
-138.0	-0.266	1.23502	-0.016	0.002	0.998	0.008	0.998	-0.215	0.254	0.192
-137.0	-0.252	1.26953	-0.015	0.002	0.998	0.008	0.998	-0.198	0.247	0.189
-136.0	-0.239	1.50547	-0.015	0.002	0.998	0.008	0.998	-0.159	0.264	0.185
-135.0	-0.227	1.54499	-0.016	0.002	0.998	0.009	0.998	-0.147	0.208	0.181
-134.0	-0.195	1.70851	-0.014	0.002	0.501	0.008	0.501	-0.114	0.194	0.180
-133.0	-0.186	1.81034	-0.013	0.002	0.501	0.008	0.501	-0.103	0.239	0.178
-132.0	-0.177	2.10414	-0.013	0.002	0.501	0.008	0.501	-0.084	0.235	0.175
-131.0	-0.170	2.19501	-0.013	0.002	0.501	0.007	0.501	-0.077	0.258	0.172
-130.0	-0.162	2.23092	-0.014	0.001	0.501	0.009	0.501	-0.073	0.257	0.167
-129.0	-0.156	2.29341	-0.013	0.001	0.501	0.008	0.501	-0.068	0.244	0.165
-128.0	-0.150	2.61617	-0.013	0.001	0.501	0.009	0.501	-0.057	0.260	0.160
-127.0	-0.144	2.66047	-0.013	0.001	0.501	0.009	0.501	-0.054	0.193	0.157
-126.0	-0.139	2.60466	-0.013	0.002	0.501	0.008	0.501	-0.053	0.187	0.158
-125.0	-0.134	2.66164	-0.013	0.002	0.501	0.008	0.501	-0.050	0.253	0.154
-124.0	-0.129	3.01603	-0.013	0.002	0.501	0.009	0.501	-0.043	0.248	0.150
-123.0	-0.125	3.08783	-0.013	0.002	0.501	0.009	0.501	-0.040	0.228	0.148
-122.0	-0.121	3.16734	-0.013	0.002	0.501	0.010	0.501	-0.038	0.221	0.145
-121.0	-0.117	3.17163	-0.013	0.002	0.501	0.010	0.501	-0.037	0.212	0.143
-120.0	-0.113	3.23208	-0.012	0.002	0.501	0.011	0.501	-0.035	0.203	0.141
-119.0	-0.110	3.31524	-0.012	0.002	0.501	0.011	0.501	-0.033	0.196	0.139
-118.0	-0.107	2.02645	-0.012	0.002	0.501	0.011	0.501	-0.053	0.188	0.138
-117.0	-0.104	2.13173	-0.012	0.002	0.501	0.012	0.501	-0.049	0.176	0.136
-116.0	-0.102	2.25978	-0.012	0.002	0.501	0.012	0.501	-0.045	0.075	0.136
-115.0	-0.099	3.69410	-0.011	0.002	0.501	0.011	0.501	-0.027	0.056	0.140
-114.0	-0.097	3.83250	-0.011	0.002	0.501	0.011	0.501	-0.025	0.138	0.139
-113.0	-0.095	2.27679	-0.010	0.002	0.501	0.011	0.501	-0.042	0.124	0.140
-112.0	-0.093	2.42881	-0.010	0.002	0.501	0.012	0.501	-0.038	0.083	0.140
-111.0	-0.091	2.29253	-0.010	0.002	0.501	0.012	0.501	-0.040	0.061	0.142
-110.0	-0.089	2.45952	-0.009	0.002	0.501	0.012	0.501	-0.036	0.039	0.143
-109.0	-0.087	2.33820	-0.009	0.002	0.501	0.012	0.501	-0.037	0.012	0.146
-108.0	-0.086	2.49336	-0.009	0.002	0.501	0.013	0.501	-0.034	-0.015	0.148
-107.0	-0.084	2.36418	-0.008	0.002	0.501	0.013	0.501	-0.036	-0.050	0.152
-106.0	-0.083	2.55454	-0.008	0.002	0.501	0.013	0.503	-0.033	-0.089	0.155
-105.0	-0.082	2.44400	-0.008	0.002	0.501	0.013	0.507	-0.034	-0.138	0.159
-104.0	-0.081	2.67350	-0.007	0.002	0.501	0.014	0.511	-0.030	-0.189	0.162
-103.0	-0.080	2.56963	-0.007	0.002	0.501	0.014	0.516	-0.031	-0.276	0.167
-102.0	-0.079	2.48537	-0.006	0.002	0.501	0.014	0.520	-0.032	-0.322	0.172
-101.0	-0.079	2.75533	-0.006	0.002	0.501	0.014	0.526	-0.029	-0.407	0.177
-100.0	-0.078	2.67325	-0.005	0.002	0.501	0.014	0.531	-0.029	-0.538	0.183
-99.0	-0.077	2.60541	-0.005	0.002	0.501	0.014	0.536	-0.030	-0.671	0.188
-98.0	-0.077	2.54955	-0.004	0.002	0.501	0.014	0.542	-0.030	-0.834	0.195
-97.0	-0.076	2.50378	-0.004	0.002	0.501	0.014	0.547	-0.030	-1.066	0.201
-96.0	-0.076	2.46621	-0.003	0.002	0.501	0.014	0.553	-0.031	-1.392	0.208
-95.0	-0.076	2.43680	-0.003	0.002	0.501	0.014	0.559	-0.031	-1.721	0.214
-94.0	-0.075	2.41630	-0.002	0.002	0.503	0.014	0.562	-0.031	-2.399	0.221
-93.0	-0.075	2.54573	-0.002	0.002	0.504	0.013	0.567	-0.030	-3.561	0.229
-92.0	-0.075	2.53510	-0.001	0.002	0.506	0.013	0.569	-0.030	-6.706	0.236
-91.0	-0.075	2.53058	-0.001	0.002	0.507	0.013	0.574	-0.030	100.395	0.243
-90.0	-0.075	2.53362	-0.000	0.002	0.508	0.013	0.578	-0.030	0.134	0.250
-89.0	-0.066	3.32385	0.001	0.507	0.002	0.574	0.013	-0.020	0.134	0.258
-88.0	-0.066	3.32444	0.001	0.506	0.002	0.569	0.013	-0.020	4.700	0.266
-87.0	-0.066	3.33207	0.002	0.504	0.002	0.567	0.013	-0.020	3.126	0.274
-86.0	-0.066	3.19486	0.002	0.503	0.002	0.562	0.014	-0.021	2.441	0.283
-85.0	-0.067	3.21092	0.003	0.501	0.002	0.559	0.014	-0.021	2.005	0.290
-84.0	-0.067	3.23346	0.003	0.501	0.002	0.553	0.014	-0.021	1.675	0.298
-83.0	-0.067	3.26320	0.004	0.501	0.002	0.547	0.014	-0.021	1.443	0.306
-82.0	-0.068	3.30115	0.004	0.501	0.002	0.542	0.014	-0.021	1.272	0.313
-81.0	-0.068	3.34874	0.005	0.501	0.002	0.536	0.014	-0.020	1.136	0.320
-80.0	-0.069	3.40787	0.005	0.501	0.002	0.531	0.014	-0.020	1.027	0.326
-79.0	-0.070	3.48132	0.006	0.501	0.002	0.526	0.014	-0.020	0.909	0.332
-78.0	-0.070	3.20274	0.006	0.501	0.002	0.520	0.014	-0.022	0.833	0.338
-77.0	-0.071	3.27807	0.007	0.501	0.002	0.516	0.014	-0.022	0.791	0.343
-76.0	-0.072	3.37214	0.007	0.501	0.002	0.511	0.014	-0.021	0.708	0.349
-75.0	-0.073	3.13439	0.008	0.501	0.002	0.507	0.013	-0.023	0.660	0.353
-74.0	-0.074	3.23543	0.008	0.501	0.002	0.503	0.013	-0.023	0.616	0.357
-73.0	-0.075	3.03813	0.008	0.501	0.002	0.501	0.013	-0.025	0.583	0.360
-72.0	-0.077	3.16064	0.009	0.501	0.002	0.501	0.013	-0.024	0.548	0.364
-71.0	-0.078	2.99932	0.009	0.501	0.002	0.501	0.012	-0.026	0.518	0.367
-70.0	-0.079	3.11324	0.009	0.501	0.002	0.501	0.012	-0.025	0.487	0.370
-69.0	-0.081	2.93935	0.010	0.501	0.002	0.501	0.012	-0.028	0.463	0.371
-68.0	-0.083	3.06755	0.010	0.501	0.002	0.501	0.012	-0.027	0.437	0.373
-67.0	-0.084	2.90795	0.010	0.501	0.002	0.501	0.011	-0.029	0.392	0.374
-66.0	-0.086	4.45574	0.011	0.501	0.002	0.501	0.011	-0.019	0.377	0.374
-65.0	-0.088	4.30895	0.011	0.501	0.002	0.501	0.011	-0.020	0.467	0.374
-64.0	-0.091	2.86230	0.012	0.501	0.002	0.501	0.012	-0.032	0.445	0.378
-63.0	-0.093	2.72524	0.012	0.501	0.002	0.501	0.012	-0.034	0.333	0.377
-62.0	-0.095	2.61077	0.012	0.501	0.002	0.501	0.011	-0.037	0.320	0.376
-61.0	-0.098	3.89051	0.012	0.501	0.002	0.501	0.011	-0.025	0.311	0.374
-60.0	-0.101	3.79756	0.012	0.501	0.002	0.501	0.011	-0.027	0.303	0.373
-59.0	-0.104	3.72708	0.013	0.501	0.002	0.501	0.010	-0.028	0.292	0.370
-58.0	-0.107	3.71253	0.013	0.501	0.002	0.501	0.010	-0.029	0.283	0.368
-57.0	-0.111	3.62253	0.013	0.501	0.002	0.501	0.009	-0.031	0.275	0.365
-56.0	-0.115	3.54002	0.013	0.501	0.002	0.501	0.009	-0.032	0.252	0.362
-55.0	-0.119	3.17526	0.013	0.501	0.002	0.501	0.008	-0.037	0.246	0.357
-54.0	-0.123	3.10717	0.013	0.501	0.002	0.501	0.008	-0.040	0.320	0.354
-53.0	-0.128	3.14919	0.013	0.501	0.001	0.501	0.009	-0.041	0.313	0.355
-52.0	-0.133	3.09353	0.013	0.501	0.001	0.501	0.009	-0.043	0.238	0.351
-51.0	-0.139	2.75976	0.013	0.501	0.001	0.501	0.008	-0.050	0.257	0.346
-50.0	-0.145	2.68469	0.014	0.501	0.001	0.501	0.009	-0.054	0.242	0.343
-49.0	-0.151	2.63796	0.013	0.501	0.002	0.501	0.007	-0.057	0.241	0.337
-48.0	-0.158	2.53437	0.013	0.501	0.002	0.501	0.008	-0.062	0.266	0.335
-47.0	-0.165	2.22824	0.013	0.501	0.002	0.501	0.008	-0.074	0.263	0.331
-46.0	-0.174	2.11363	0.014	0.501	0.002	0.501	0.008	-0.082	0.388	0.328
-45.0	-0.182	2.05738	0.016	1.000	0.002	1.000	0.009	-0.089	0.352	0.336
-44.0	-0.192	2.00184	0.015	1.000	0.002	1.000	0.008	-0.096	0.233	0.331
-43.0	-0.202	1.74910	0.015	1.000	0.002	1.000	0.008	-0.115	0.254	0.326
-42.0	-0.213	1.69747	0.016	1.000	0.002	1.000	0.008	-0.126	0.245	0.323
-41.0	-0.225	1.59049	0.015	1.000	0.002	1.000	0.008	-0.142	0.238	0.318
-40.0	-0.238	1.51114	0.015	1.000	0.002	1.000	0.008	-0.158	0.232	0.314
-39.0	-0.253	1.35856	0.015	1.000	0.002	1.000	0.007	-0.186	0.237	0.309
-38.0	-0.269	1.30205	0.015	1.000	0.002	1.000	0.007	-0.206	0.242	0.305
-37.0	-0.286	1.23758	0.015	1.000	0.002	1.000	0.007	-0.231	0.237	0.301
-36.0	-0.304	1.12449	0.014	1.000	0.002	1.000	0.007	-0.271	0.233	0.297
-35.0	-0.325	1.05890	0.014	1.000	0.003	1.000	0.006	-0.307	0.234	0.293
-34.0	-0.347	0.92148	0.014	1.000	0.003	1.000	0.006	-0.377	0.234	0.289
-33.0	-0.372	0.87521	0.013	1.000	0.003	1.000	0.005	-0.425	0.235	0.285
-32.0	-0.399	0.81776	0.013	1.000	0.003	1.000	0.005	-0.487	0.245	0.282
-31.0	-0.428	0.77840	0.013	1.000	0.003	1.000	0.006	-0.550	0.244	0.280
-30.0	-0.460	0.69795	0.013	1.000	0.004	1.000	0.006	-0.659	0.237	0.277
-29.0	-0.494	0.62947	0.012	1.000	0.003	1.000	0.005	-0.786	0.241	0.274
-28.0	-0.532	0.57472	0.012	1.000	0.003	1.000	0.005	-0.926	0.245	0.272
-27.0	-0.573	0.53496	0.012	1.000	0.004	1.000	0.005	-1.071	0.245	0.270
-26.0	-0.617	0.48161	0.011	1.000	0.004	1.000	0.006	-1.281	0.246	0.269
-25.0	-0.664	0.43434	0.011	1.000	0.004	1.000	0.006	-1.528	0.246	0.267
-24.0	-0.713	0.40014	0.011	1.000	0.004	1.000	0.007	-1.782	0.245	0.266
-23.0	-0.765	0.35787	0.011	1.000	0.004	1.000	0.006	-2.137	0.245	0.264
-22.0	-0.818	0.32990	0.011	1.000	0.004	1.000	0.007	-2.478	0.245	0.263
-21.0	-0.870	0.28713	0.010	1.000	0.004	1.000	0.007	-3.031	0.242	0.262
-20.0	-0.911	0.26755	0.010	1.000	0.004	1.000	0.007	-3.405	0.239	0.261
-19.0	-0.945	0.23352	0.009	1.000	0.005	1.000	0.007	-4.047	0.238	0.260
-18.0	-0.975	0.20695	0.009	0.989	0.005	1.000	0.008	-4.709	0.242	0.259
-17.0	-0.998	0.18023	0.009	0.986	0.005	1.000	0.009	-5.536	0.234	0.259
-16.0	-1.013	0.16147	0.008	0.982	0.005	1.000	0.009	-6.271	0.210	0.258
-15.0	-1.018	0.14320	0.008	0.979	0.006	1.000	0.010	-7.108	58.237	0.258
-14.0	-1.013	0.12767	0.008	0.975	0.006	1.000	0.011	-7.931	0.272	0.258
-13.0	-0.996	0.11170	0.008	0.968	0.006	1.000	0.014	-8.915	0.258	0.258
-12.0	-0.967	0.09758	0.007	0.962	0.007	1.000	0.018	-9.911	0.257	0.258
-11.0	-0.926	0.08552	0.007	0.957	0.009	1.000	0.022	-10.831	0.256	0.258
-10.0	-0.875	0.07503	0.007	0.947	0.011	1.000	0.029	-11.655	0.254	0.258
-9.0	-0.813	0.06564	0.007	0.938	0.014	1.000	0.041	-12.385	0.598	0.258
-8.0	-0.886	0.02497	0.011	0.926	0.017	1.000	0.840	-35.475	-0.315	0.262
-7.0	-0.807	0.02222	0.010	0.911	0.021	1.000	0.952	-36.346	0.263	0.262
-6.0	-0.705	0.02063	0.008	0.892	0.036	1.000	0.976	-34.146	0.263	0.262
-5.0	-0.593	0.01661	0.007	0.871	0.067	1.000	0.988	-35.694	0.262	0.262
-4.0	-0.478	0.01748	0.006	0.840	0.204	1.000	0.998	-27.340	0.262	0.262
-3.0	-0.360	0.01625	0.004	0.801	0.316	1.000	0.999	-22.141	0.262	0.262
-2.0	-0.240	0.01550	0.003	0.749	0.412	1.000	0.999	-15.511	0.262	0.262
-1.0	-0.120	0.01499	0.001	0.679	0.504	1.000	0.999	-8.028	0.262	0.262
-0.0	-0.000	0.01490	-0.000	0.596	0.596	1.000	0.999	-0.000	0.262	0.250
1.0	0.120	0.01499	-0.001	0.504	0.679	1.000	0.998	8.030	0.262	0.262
2.0	0.240	0.01550	-0.003	0.412	0.749	1.000	0.998	15.515	0.262	0.262
3.0	0.360	0.01625	-0.004	0.316	0.801	1.000	0.998	22.148	0.262	0.262
4.0	0.478	0.01748	-0.006	0.204	0.840	1.000	0.998	27.349	0.262	0.262
5.0	0.593	0.01661	-0.007	0.067	0.871	0.988	0.998	35.694	0.262	0.262
6.0	0.705	0.02063	-0.008	0.036	0.892	0.976	0.998	34.146	0.263	0.262
7.0	0.807	0.02222	-0.010	0.021	0.911	0.952	0.998	36.346	0.263	0.262
8.0	0.886	0.02497	-0.011	0.017	0.926	0.840	0.998	35.475	-0.315	0.262
9.0	0.813	0.06564	-0.007	0.014	0.938	0.041	0.998	12.385	0.598	0.258
10.0	0.875	0.07503	-0.007	0.011	0.947	0.029	0.998	11.655	0.254	0.258
11.0	0.926	0.08552	-0.007	0.009	0.957	0.022	0.998	10.831	0.256	0.258
12.0	0.967	0.09758	-0.007	0.007	0.962	0.018	0.998	9.911	0.257	0.258
13.0	0.996	0.11170	-0.008	0.006	0.968	0.014	0.998	8.915	0.258	0.258
14.0	1.013	0.12767	-0.008	0.006	0.975	0.011	0.998	7.931	0.272	0.258
15.0	1.018	0.14320	-0.008	0.006	0.979	0.010	0.998	7.108	58.295	0.258
16.0	1.013	0.16147	-0.008	0.005	0.982	0.009	0.998	6.271	0.210	0.258
17.0	0.998	0.18023	-0.009	0.005	0.986	0.009	0.998	5.536	0.234	0.259
18.0	0.975	0.20695	-0.009	0.005	0.989	0.008	0.998	4.709	0.242	0.259
19.0	0.945	0.23352	-0.009	0.005	0.998	0.007	0.998	4.047	0.238	0.260
20.0	0.911	0.26755	-0.010	0.004	0.998	0.007	0.998	3.405	0.239	0.261
21.0	0.870	0.28713	-0.010	0.004	0.998	0.007	0.998	3.031	0.242	0.262
22.0	0.818	0.32990	-0.011	0.004	0.998	0.007	0.998	2.478	0.245	0.263
23.0	0.765	0.35787	-0.011	0.004	0.998	0.006	0.999	2.137	0.245	0.264
24.0	0.713	0.40014	-0.011	0.004	0.998	0.007	0.999	1.782	0.245	0.266
25.0	0.664	0.43434	-0.011	0.004	0.998	0.006	0.998	1.528	0.246	0.267
26.0	0.617	0.48161	-0.011	0.004	0.998	0.006	0.999	1.281	0.246	0.269
27.0	0.573	0.53496	-0.012	0.004	0.998	0.005	0.998	1.071	0.245	0.270
28.0	0.532	0.57472	-0.012	0.003	0.998	0.005	0.999	0.926	0.245	0.272
29.0	0.494	0.62947	-0.012	0.003	0.998	0.005	0.999	0.786	0.241	0.274
30.0	0.460	0.69795	-0.013	0.004	0.998	0.006	0.998	0.659	0.237	0.277
31.0	0.428	0.77840	-0.013	0.003	0.998	0.006	0.998	0.550	0.244	0.280
32.0	0.399	0.81776	-0.013	0.003	0.998	0.005	0.998	0.487	0.245	0.282
33.0	0.372	0.87521	-0.013	0.003	0.998	0.005	0.998	0.425	0.235	0.285
34.0	0.347	0.92148	-0.014	0.003	0.998	0.006	0.998	0.377	0.234	0.289
35.0	0.325	1.05890	-0.014	0.003	0.998	0.006	0.998	0.307	0.234	0.293
36.0	0.304	1.12449	-0.014	0.002	0.998	0.007	0.998	0.271	0.233	0.297
37.0	0.286	1.23758	-0.015	0.002	0.998	0.007	0.998	0.231	0.237	0.301
38.0	0.269	1.30205	-0.015	0.002	0.998	0.007	0.998	0.206	0.242	0.305
39.0	0.253	1.35856	-0.015	0.002	0.998	0.007	0.998	0.186	0.237	0.309
40.0	0.238	1.51114	-0.015	0.002	0.998	0.008	0.998	0.158	0.232	0.314
41.0	0.225	1.59049	-0.015	0.002	0.998	0.008	0.998	0.142	0.238	0.318
42.0	0.213	1.69747	-0.016	0.002	0.998	0.008	0.998	0.126	0.245	0.323
43.0	0.202	1.74910	-0.015	0.002	0.998	0.008	0.998	0.115	0.253	0.326
44.0	0.192	2.00184	-0.015	0.002	0.998	0.008	0.998	0.096	0.233	0.331
45.0	0.182	2.05738	-0.016	0.002	0.998	0.009	0.998	0.089	0.352	0.336
46.0	0.174	2.11363	-0.014	0.002	0.501	0.008	0.501	0.082	0.388	0.328
47.0	0.165	2.22824	-0.013	0.002	0.501	0.008	0.501	0.074	0.263	0.331
48.0	0.158	2.53437	-0.013	0.002	0.501	0.008	0.501	0.062	0.266	0.335
49.0	0.151	2.63796	-0.013	0.002	0.501	0.007	0.501	0.057	0.241	0.337
50.0	0.145	2.68469	-0.014	0.001	0.501	0.009	0.501	0.054	0.242	0.343
51.0	0.139	2.75976	-0.013	0.001	0.501	0.008	0.501	0.050	0.257	0.346
52.0	0.133	3.09353	-0.013	0.001	0.501	0.009	0.501	0.043	0.238	0.351
53.0	0.128	3.14919	-0.013	0.001	0.501	0.009	0.501	0.041	0.313	0.355
54.0	0.123	3.10717	-0.013	0.002	0.501	0.008	0.501	0.040	0.320	0.354
55.0	0.119	3.17526	-0.013	0.002	0.501	0.008	0.501	0.037	0.246	0.357
56.0	0.115	3.54002	-0.013	0.002	0.501	0.009	0.501	0.032	0.252	0.362
57.0	0.111	3.62253	-0.013	0.002	0.501	0.009	0.501	0.031	0.275	0.365
58.0	0.107	3.71253	-0.013	0.002	0.501	0.010	0.501	0.029	0.283	0.368
59.0	0.104	3.72708	-0.013	0.002	0.501	0.010	0.501	0.028	0.292	0.370
60.0	0.101	3.79756	-0.012	0.002	0.501	0.011	0.501	0.027	0.303	0.373
61.0	0.098	3.89051	-0.012	0.002	0.501	0.011	0.501	0.025	0.311	0.374
62.0	0.095	2.61077	-0.012	0.002	0.501	0.011	0.501	0.037	0.320	0.376
63.0	0.093	2.72524	-0.012	0.002	0.501	0.012	0.501	0.034	0.333	0.377
64.0	0.091	2.86230	-0.012	0.002	0.501	0.012	0.501	0.032	0.445	0.378
65.0	0.088	4.30895	-0.011	0.002	0.501	0.011	0.501	0.020	0.467	0.374
66.0	0.086	4.45574	-0.011	0.002	0.501	0.011	0.501	0.019	0.377	0.374
67.0	0.084	2.90795	-0.010	0.002	0.501	0.011	0.501	0.029	0.392	0.374
68.0	0.083	3.06755	-0.010	0.002	0.501	0.012	0.501	0.027	0.437	0.373
69.0	0.081	2.93935	-0.010	0.002	0.501	0.012	0.501	0.028	0.463	0.371
70.0	0.079	3.11324	-0.009	0.002	0.501	0.012	0.501	0.025	0.487	0.370
71.0	0.078	2.99932	-0.009	0.002	0.501	0.012	0.501	0.026	0.518	0.367
72.0	0.077	3.16064	-0.009	0.002	0.501	0.013	0.501	0.024	0.548	0.364
73.0	0.075	3.03813	-0.008	0.002	0.501	0.013	0.501	0.025	0.583	0.360
74.0	0.074	3.23543	-0.008	0.002	0.501	0.013	0.503	0.023	0.616	0.357
75.0	0.073	3.13439	-0.008	0.002	0.501	0.013	0.507	0.023	0.660	0.353
76.0	0.072	3.37214	-0.007	0.002	0.501	0.014	0.511	0.021	0.708	0.349
77.0	0.071	3.27807	-0.007	0.002	0.501	0.014	0.516	0.022	0.791	0.343
78.0	0.070	3.20274	-0.006	0.002	0.501	0.014	0.520	0.022	0.833	0.338
79.0	0.070	3.48132	-0.006	0.002	0.501	0.014	0.526	0.020	0.909	0.332
80.0	0.069	3.40787	-0.005	0.002	0.501	0.014	0.531	0.020	1.027	0.326
81.0	0.068	3.34874	-0.005	0.002	0.501	0.014	0.536	0.020	1.136	0.320
82.0	0.068	3.30115	-0.004	0.002	0.501	0.014	0.542	0.021	1.272	0.313
83.0	0.067	3.26320	-0.004	0.002	0.501	0.014	0.547	0.021	1.443	0.306
84.0	0.067	3.23346	-0.003	0.002	0.501	0.014	0.553	0.021	1.675	0.298
85.0	0.067	3.21092	-0.003	0.002	0.501	0.014	0.559	0.021	2.005	0.290
86.0	0.066	3.19486	-0.002	0.002	0.503	0.014	0.562	0.021	2.441	0.283
87.0	0.066	3.33207	-0.002	0.002	0.504	0.013	0.567	0.020	3.126	0.274
88.0	0.066	3.32444	-0.001	0.002	0.506	0.013	0.569	0.020	4.700	0.266
89.0	0.066	3.32385	-0.001	0.002	0.507	0.013	0.574	0.020	0.134	0.258
90.0	0.075	2.53362	-0.000	0.508	0.002	0.578	0.013	0.030	0.134	0.250
91.0	0.075	2.53058	0.001	0.507	0.002	0.574	0.013	0.030	100.395	0.243
92.0	0.075	2.53510	0.001	0.506	0.002	0.569	0.013	0.030	-6.706	0.236
93.0	0.075	2.54573	0.002	0.504	0.002	0.567	0.013	0.030	-3.561	0.229
94.0	0.075	2.41630	0.002	0.503	0.002	0.562	0.014	0.031	-2.399	0.221
95.0	0.076	2.43680	0.003	0.501	0.002	0.559	0.014	0.031	-1.721	0.214
96.0	0.076	2.46621	0.003	0.501	0.002	0.553	0.014	0.031	-1.392	0.208
97.0	0.076	2.50378	0.004	0.501	0.002	0.547	0.014	0.030	-1.066	0.201
98.0	0.077	2.54955	0.004	0.501	0.002	0.542	0.014	0.030	-0.834	0.195
99.0	0.077	2.60541	0.005	0.501	0.002	0.536	0.014	0.030	-0.671	0.188
100.0	0.078	2.67325	0.005	0.501	0.002	0.531	0.014	0.029	-0.538	0.183
101.0	0.079	2.75533	0.006	0.501	0.002	0.526	0.014	0.029	-0.407	0.177
102.0	0.079	2.48537	0.006	0.501	0.002	0.520	0.014	0.032	-0.322	0.172
103.0	0.080	2.56963	0.007	0.501	0.002	0.516	0.014	0.031	-0.276	0.167
104.0	0.081	2.67350	0.007	0.501	0.002	0.511	0.014	0.030	-0.189	0.162
105.0	0.082	2.44400	0.008	0.501	0.002	0.507	0.013	0.034	-0.138	0.159
