Name = NACA 0012
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-180.0	-0.000	0.00986	-0.000	0.596	0.596	1.000	0.999	-0.000	0.238	0.250
-179.0	-0.120	0.00995	-0.001	0.504	0.679	1.000	0.998	-12.092	0.238	0.238
-178.0	-0.240	0.01046	-0.003	0.412	0.749	1.000	0.998	-22.976	0.238	0.238
-177.0	-0.360	0.01122	-0.004	0.316	0.801	1.000	0.998	-32.070	0.238	0.238
-176.0	-0.478	0.01245	-0.006	0.204	0.840	1.000	0.998	-38.374	0.238	0.238
-175.0	-0.594	0.01159	-0.007	0.067	0.871	0.988	0.998	-51.283	0.238	0.238
-174.0	-0.708	0.01560	-0.008	0.036	0.892	0.976	0.998	-45.363	0.238	0.238
-173.0	-0.815	0.01712	-0.010	0.021	0.911	0.952	0.998	-47.603	0.238	0.238
-172.0	-0.915	0.01885	-0.011	0.017	0.926	0.840	0.998	-48.524	0.266	0.238
-171.0	-1.006	0.01546	-0.007	0.014	0.938	0.041	0.998	-65.028	0.273	0.243
-170.0	-1.085	0.01844	-0.007	0.011	0.947	0.029	0.998	-58.819	0.247	0.244
-169.0	-1.151	0.02229	-0.007	0.009	0.957	0.022	0.998	-51.656	0.246	0.244
-168.0	-1.203	0.02735	-0.007	0.007	0.962	0.018	0.998	-43.994	0.245	0.244
-167.0	-1.240	0.03389	-0.008	0.006	0.968	0.014	0.998	-36.595	0.244	0.244
-166.0	-1.262	0.04179	-0.008	0.006	0.975	0.011	0.998	-30.189	0.233	0.244
-165.0	-1.269	0.04897	-0.008	0.006	0.979	0.010	0.998	-25.912	-0.858	0.244
-164.0	-1.262	0.05848	-0.008	0.005	0.982	0.009	0.998	-21.586	0.282	0.243
-163.0	-1.244	0.06798	-0.009	0.005	0.986	0.009	0.998	-18.299	0.263	0.243
-162.0	-1.215	0.08475	-0.009	0.005	0.989	0.008	0.998	-14.340	0.257	0.243
-161.0	-1.179	0.10094	-0.009	0.005	0.998	0.007	0.998	-11.679	0.259	0.242
-160.0	-1.136	0.12442	-0.010	0.004	0.998	0.007	0.998	-9.132	0.259	0.241
-159.0	-1.086	0.13278	-0.010	0.004	0.998	0.007	0.998	-8.177	0.257	0.241
-158.0	-1.020	0.16413	-0.011	0.004	0.998	0.007	0.998	-6.213	0.254	0.240
-157.0	-0.954	0.17980	-0.011	0.004	0.998	0.006	0.999	-5.306	0.254	0.239
-156.0	-0.890	0.20976	-0.011	0.004	0.998	0.007	0.999	-4.242	0.254	0.238
-155.0	-0.828	0.23094	-0.011	0.004	0.998	0.006	0.998	-3.586	0.253	0.236
-154.0	-0.770	0.26495	-0.011	0.004	0.998	0.006	0.999	-2.906	0.253	0.235
-153.0	-0.715	0.30458	-0.012	0.004	0.998	0.005	0.998	-2.348	0.254	0.234
-152.0	-0.664	0.33043	-0.012	0.003	0.998	0.005	0.999	-2.010	0.254	0.232
-151.0	-0.617	0.37076	-0.012	0.003	0.998	0.005	0.999	-1.664	0.257	0.231
-150.0	-0.574	0.42500	-0.013	0.004	0.998	0.006	0.998	-1.350	0.260	0.228
-149.0	-0.534	0.49073	-0.013	0.003	0.998	0.006	0.998	-1.088	0.255	0.226
-148.0	-0.497	0.51476	-0.013	0.003	0.998	0.005	0.998	-0.966	0.254	0.224
-147.0	-0.464	0.55685	-0.013	0.003	0.998	0.005	0.998	-0.833	0.262	0.222
-146.0	-0.433	0.58803	-0.014	0.003	0.998	0.006	0.998	-0.737	0.263	0.218
-145.0	-0.405	0.70965	-0.014	0.003	0.998	0.006	0.998	-0.571	0.263	0.216
-144.0	-0.380	0.75982	-0.014	0.002	0.998	0.007	0.998	-0.500	0.263	0.212
-143.0	-0.356	0.85676	-0.015	0.002	0.998	0.007	0.998	-0.416	0.260	0.209
