Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
92.0	0.016	4.91431	-0.055	0.002	0.524	0.013	0.573	0.003	154.272	3.666
93.0	0.016	4.78409	-0.054	0.002	0.525	0.013	0.575	0.003	-39.837	3.631
94.0	0.016	4.80960	-0.054	0.002	0.526	0.013	0.579	0.003	1.212	3.602
95.0	0.018	2.47887	-0.056	0.520	0.005	0.574	0.018	0.007	1.121	3.327
96.0	0.018	2.49765	-0.056	0.519	0.005	0.569	0.018	0.007	-12.669	3.289
97.0	0.018	1.81007	-0.055	0.518	0.005	0.565	0.018	0.010	-8.898	3.248
98.0	0.018	1.82213	-0.054	0.517	0.005	0.561	0.018	0.010	-6.848	3.204
99.0	0.019	1.83646	-0.054	0.516	0.005	0.556	0.018	0.010	-6.347	3.158
100.0	0.019	1.78305	-0.053	0.515	0.005	0.552	0.017	0.010	-5.218	3.102
101.0	0.019	1.79979	-0.053	0.514	0.005	0.548	0.017	0.010	-3.927	3.052
102.0	0.019	1.81839	-0.052	0.513	0.005	0.545	0.017	0.010	-3.841	2.999
103.0	0.019	2.36220	-0.051	0.512	0.005	0.541	0.017	0.008	-2.311	2.938
104.0	0.019	1.80244	-0.051	0.511	0.005	0.537	0.018	0.011	-2.005	2.900
105.0	0.019	1.75845	-0.050	0.510	0.005	0.534	0.018	0.011	-2.570	2.836
106.0	0.020	1.38624	-0.050	0.509	0.005	0.531	0.018	0.014	-2.235	2.777
107.0	0.020	1.35231	-0.049	0.507	0.005	0.529	0.017	0.015	-2.228	2.711
108.0	0.020	1.86338	-0.048	0.506	0.005	0.526	0.017	0.011	-2.008	2.643
109.0	0.021	1.83555	-0.048	0.505	0.005	0.524	0.017	0.011	-1.799	2.575
110.0	0.021	1.80240	-0.047	0.504	0.005	0.521	0.017	0.012	-1.611	2.507
111.0	0.021	1.77302	-0.047	0.503	0.005	0.519	0.017	0.012	-1.455	2.438
112.0	0.022	1.74738	-0.046	0.501	0.005	0.517	0.016	0.012	-0.768	2.369
113.0	0.022	1.77538	-0.046	0.500	0.005	0.514	0.017	0.012	-0.823	2.321
114.0	0.023	1.67668	-0.045	0.500	0.005	0.511	0.017	0.013	-1.218	2.246
115.0	0.023	1.66520	-0.044	0.500	0.005	0.508	0.016	0.014	-0.981	2.177
116.0	0.024	1.65721	-0.044	0.500	0.005	0.505	0.016	0.014	-0.981	2.108
117.0	0.024	1.57058	-0.043	0.500	0.005	0.502	0.016	0.015	-0.862	2.035
118.0	0.025	1.56047	-0.042	0.500	0.005	0.500	0.016	0.016	-0.370	1.967
119.0	0.025	1.53268	-0.042	0.500	0.005	0.500	0.016	0.017	-0.363	1.914
120.0	0.026	1.46271	-0.042	0.500	0.005	0.500	0.016	0.018	-0.532	1.844
121.0	0.027	1.46979	-0.041	0.500	0.005	0.500	0.015	0.018	-0.466	1.780
122.0	0.028	1.40106	-0.040	0.500	0.005	0.500	0.015	0.020	-0.212	1.712
123.0	0.029	1.38677	-0.040	0.500	0.005	0.500	0.015	0.021	-0.165	1.661
124.0	0.029	1.31809	-0.040	0.500	0.005	0.500	0.015	0.022	-0.347	1.596
125.0	0.031	1.26535	-0.039	0.500	0.005	0.500	0.015	0.024	-0.296	1.532
126.0	0.032	1.21521	-0.039	0.500	0.005	0.500	0.014	0.026	-0.248	1.469
127.0	0.033	1.16321	-0.038	0.500	0.005	0.500	0.014	0.028	-0.019	1.408
128.0	0.034	1.16010	-0.038	0.500	0.004	0.500	0.014	0.029	0.011	1.362
129.0	0.035	1.11665	-0.037	0.500	0.004	0.500	0.014	0.032	-0.120	1.304
130.0	0.037	1.06946	-0.037	0.500	0.004	0.500	0.013	0.035	-0.011	1.248
131.0	0.038	0.99031	-0.037	0.500	0.004	0.500	0.013	0.039	0.017	1.199
132.0	0.040	0.95345	-0.036	0.500	0.004	0.500	0.013	0.042	0.778	1.146
133.0	0.046	1.24069	-0.040	0.899	0.004	0.908	0.013	0.037	0.742	1.131
134.0	0.048	1.17453	-0.040	0.899	0.004	0.909	0.013	0.041	-0.000	1.080
135.0	0.051	0.99686	-0.039	0.899	0.004	0.910	0.012	0.051	0.131	1.028
136.0	0.053	0.96485	-0.039	0.899	0.004	0.910	0.012	0.055	0.146	0.990
137.0	0.056	0.82932	-0.039	0.899	0.004	0.911	0.012	0.068	0.116	0.941
138.0	0.059	0.78214	-0.039	0.900	0.004	0.912	0.012	0.076	0.152	0.902
139.0	0.063	0.71316	-0.038	0.900	0.004	0.912	0.011	0.088	0.166	0.859
140.0	0.066	0.65864	-0.038	0.900	0.003	0.913	0.011	0.101	0.177	0.823
141.0	0.070	0.58940	-0.038	0.899	0.003	0.914	0.011	0.119	0.137	0.784
142.0	0.075	0.55210	-0.037	0.899	0.003	0.915	0.010	0.135	0.196	0.744
143.0	0.080	0.52110	-0.037	0.899	0.003	0.916	0.011	0.153	0.204	0.714
144.0	0.085	0.47358	-0.036	0.899	0.003	0.916	0.010	0.180	0.211	0.678
145.0	0.091	0.44501	-0.037	0.899	0.003	0.916	0.010	0.205	0.204	0.651
146.0	0.098	0.71145	-0.036	0.899	0.003	0.917	0.009	0.137	0.201	0.617
147.0	0.105	0.65109	-0.036	0.899	0.003	0.917	0.009	0.161	0.217	0.591
148.0	0.113	0.59583	-0.035	0.899	0.003	0.917	0.009	0.190	0.213	0.562
149.0	0.122	0.55404	-0.035	0.899	0.003	0.918	0.009	0.221	0.217	0.538
150.0	0.133	0.50650	-0.035	0.899	0.003	0.918	0.008	0.262	0.229	0.512
151.0	0.144	0.46703	-0.035	0.899	0.002	0.919	0.008	0.308	0.232	0.492
152.0	0.157	0.42315	-0.034	0.898	0.002	0.919	0.007	0.370	0.235	0.469
153.0	0.171	0.37361	-0.034	0.898	0.002	0.919	0.007	0.457	0.230	0.451
154.0	0.187	0.32863	-0.034	0.898	0.002	0.919	0.007	0.569	0.239	0.430
155.0	0.205	0.29638	-0.034	0.897	0.002	0.920	0.007	0.691	0.239	0.416
156.0	0.225	0.26547	-0.033	0.897	0.002	0.920	0.006	0.847	0.236	0.398
157.0	0.247	0.22387	-0.033	0.895	0.002	0.921	0.006	1.105	0.256	0.385
158.0	0.272	0.20451	-0.034	0.893	0.002	0.922	0.006	1.332	0.238	0.373
159.0	0.300	0.17034	-0.033	0.891	0.002	0.923	0.005	1.763	0.240	0.359
160.0	0.331	0.15143	-0.033	0.888	0.002	0.924	0.005	2.185	0.243	0.350
161.0	0.364	0.13730	-0.032	0.886	0.002	0.925	0.005	2.651	0.240	0.339
162.0	0.399	0.11739	-0.032	0.883	0.002	0.926	0.004	3.401	0.248	0.331
163.0	0.436	0.24696	-0.032	0.879	0.001	0.927	0.004	1.764	0.248	0.324
164.0	0.465	0.18411	-0.032	0.876	0.002	0.929	0.004	2.525	0.243	0.319
165.0	0.488	0.15357	-0.032	0.870	0.002	0.931	0.004	3.177	0.248	0.315
166.0	0.505	0.12020	-0.032	0.864	0.002	0.934	0.004	4.203	0.269	0.313
167.0	0.514	0.09183	-0.032	0.858	0.002	0.935	0.004	5.595	0.227	0.313
168.0	0.511	0.07390	-0.032	0.849	0.002	0.937	0.003	6.911	0.268	0.313
169.0	0.490	0.05582	-0.032	0.836	0.002	0.940	0.003	8.777	0.246	0.315
170.0	0.450	0.04305	-0.032	0.824	0.002	0.943	0.003	10.459	0.248	0.321
171.0	0.395	0.03193	-0.032	0.815	0.002	0.945	0.003	12.382	0.251	0.331
172.0	0.325	0.02290	-0.032	0.805	0.002	0.946	0.003	14.209	0.247	0.348
173.0	0.242	0.01673	-0.033	0.789	0.002	0.950	0.003	14.443	0.249	0.385
174.0	0.146	0.01252	-0.032	0.775	0.002	0.952	0.003	11.647	0.249	0.471
175.0	0.040	0.00997	-0.033	0.763	0.002	0.954	0.003	4.057	0.241	1.061
176.0	-0.072	0.00863	-0.034	0.751	0.002	0.956	0.003	-8.286	0.222	-0.229
177.0	-0.188	0.00806	-0.039	0.723	0.003	0.963	0.006	-23.289	-0.071	0.042
178.0	-0.306	0.01058	-0.110	0.704	0.067	0.965	0.986	-28.920	-0.055	-0.108
179.0	-0.423	0.01091	-0.111	0.673	0.357	0.972	0.990	-38.818	0.239	-0.012
180.0	-0.541	0.01188	-0.112	0.639	0.380	0.977	0.993	-45.562	0.239	0.043
