Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-124.0	-0.034	2.11709	-0.058	0.002	0.500	0.010	0.500	-0.016	0.438	-1.476
-123.0	-0.032	2.24311	-0.059	0.002	0.500	0.011	0.500	-0.014	0.685	-1.558
-122.0	-0.031	2.26451	-0.059	0.002	0.500	0.011	0.500	-0.014	0.346	-1.635
-121.0	-0.030	2.37309	-0.059	0.002	0.500	0.011	0.500	-0.013	0.335	-1.694
-120.0	-0.029	2.41876	-0.059	0.002	0.500	0.011	0.500	-0.012	0.616	-1.771
-119.0	-0.028	2.46368	-0.060	0.002	0.500	0.012	0.500	-0.012	0.636	-1.847
-118.0	-0.028	2.51224	-0.060	0.002	0.500	0.012	0.502	-0.011	0.672	-1.923
-117.0	-0.027	2.57943	-0.060	0.002	0.500	0.012	0.504	-0.010	0.229	-1.998
-116.0	-0.026	2.60032	-0.060	0.002	0.500	0.012	0.507	-0.010	0.208	-2.047
-115.0	-0.025	2.68442	-0.060	0.002	0.500	0.012	0.509	-0.009	0.710	-2.120
-114.0	-0.025	2.76378	-0.060	0.002	0.500	0.013	0.512	-0.009	0.572	-2.192
-113.0	-0.024	2.72327	-0.061	0.002	0.500	0.013	0.515	-0.009	0.560	-2.255
-112.0	-0.024	2.83560	-0.061	0.002	0.500	0.013	0.518	-0.008	0.079	-2.324
-111.0	-0.023	2.89416	-0.060	0.002	0.502	0.013	0.520	-0.008	-0.144	-2.363
-110.0	-0.023	2.88314	-0.060	0.002	0.503	0.013	0.523	-0.008	0.317	-2.420
-109.0	-0.022	2.88279	-0.060	0.002	0.505	0.013	0.525	-0.008	0.456	-2.474
-108.0	-0.022	3.01799	-0.061	0.002	0.506	0.013	0.527	-0.007	0.417	-2.534
-107.0	-0.021	3.02835	-0.061	0.002	0.507	0.014	0.529	-0.007	0.170	-2.583
-106.0	-0.021	3.05238	-0.061	0.002	0.508	0.014	0.531	-0.007	-0.771	-2.630
-105.0	-0.021	3.54445	-0.060	0.002	0.509	0.013	0.534	-0.006	-0.894	-2.644
-104.0	-0.020	3.58044	-0.060	0.002	0.511	0.013	0.536	-0.006	0.008	-2.685
-103.0	-0.020	3.62812	-0.060	0.002	0.511	0.014	0.538	-0.006	-0.084	-2.722
-102.0	-0.020	3.68478	-0.060	0.002	0.512	0.014	0.540	-0.005	-0.477	-2.756
-101.0	-0.020	3.59732	-0.059	0.002	0.513	0.014	0.542	-0.005	-0.613	-2.780
-100.0	-0.019	3.65614	-0.059	0.002	0.514	0.014	0.544	-0.005	-0.774	-2.807
-99.0	-0.019	3.57916	-0.059	0.002	0.515	0.014	0.546	-0.005	-0.952	-2.823
-98.0	-0.019	3.67069	-0.059	0.002	0.516	0.014	0.549	-0.005	-1.157	-2.844
-97.0	-0.019	3.61895	-0.058	0.002	0.517	0.014	0.551	-0.005	-1.904	-2.853
-96.0	-0.019	3.57466	-0.058	0.002	0.518	0.014	0.553	-0.005	-2.305	-2.859
-95.0	-0.019	3.54074	-0.058	0.002	0.519	0.014	0.555	-0.005	-2.817	-2.861
-94.0	-0.018	3.51243	-0.057	0.002	0.520	0.014	0.557	-0.005	-3.490	-2.859
-93.0	-0.018	3.49706	-0.057	0.002	0.520	0.014	0.559	-0.005	-7.156	-2.854
-92.0	-0.018	3.56529	-0.056	0.002	0.521	0.014	0.562	-0.005	-9.348	-2.823
-91.0	-0.018	3.56359	-0.056	0.002	0.522	0.014	0.564	-0.005	-9.968	-2.811
-90.0	-0.018	4.11196	-0.055	0.002	0.523	0.013	0.566	-0.004	-17.644	-2.788
-89.0	-0.018	4.10902	-0.055	0.002	0.523	0.013	0.570	-0.004	-52.671	-2.770
-88.0	-0.018	4.12557	-0.055	0.002	0.524	0.013	0.573	-0.004	54.253	-2.748
-87.0	-0.018	3.99432	-0.054	0.002	0.525	0.013	0.575	-0.005	18.095	-2.716
-86.0	-0.018	4.01909	-0.054	0.002	0.526	0.013	0.579	-0.005	1.268	-2.688
-85.0	-0.016	3.25889	-0.056	0.520	0.005	0.574	0.018	-0.005	1.185	-3.254
